Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Potassium_last10%_min,0.07424052603525606,17,0.13962626361501013,5,0.06538573757975406,0.06538573757975406,-12
Respiratory rate_last25%_mean,0.13568768727427355,4,0.19244183810540896,3,0.056754150831135414,0.056754150831135414,-1
Sodium_full_min,0.04656273933041222,32,0.0747009094424122,19,0.028138170111999983,0.028138170111999983,-13
Sodium_full_mean,0.037183597125815156,46,0.06327079560784862,27,0.026087198482033468,0.026087198482033468,-19
Potassium_full_min,0.032382779815870656,49,0.058285870003288325,31,0.02590309018741767,0.02590309018741767,-18
Sodium_full_max,0.03757249555664838,44,0.06318507724045584,28,0.025612581683807464,0.025612581683807464,-16
Respiratory rate_full_min,0.04034622561920596,41,0.06450101222820533,25,0.02415478660899937,0.02415478660899937,-16
Creatinine_last10%_min,0.07279271439160556,19,0.09541501086559541,13,0.022622296473989847,0.022622296473989847,-6
Potassium_full_mean,0.01883971922516959,67,0.038547608265782726,48,0.019707889040613137,0.019707889040613137,-19
Lactate_last10%_min,0.09504323428479552,9,0.1118439066044549,9,0.01680067231965937,0.01680067231965937,0
Respiratory rate_last10%_mean,0.04047949965931528,40,0.055643397499454246,33,0.015163897840138968,0.015163897840138968,-7
Potassium_full_max,0.016472479143480045,71,0.031232853463290505,54,0.014760374319810459,0.014760374319810459,-17
Sodium_last10%_min,0.029951327635328102,52,0.04383225848132689,42,0.013880930845998785,0.013880930845998785,-10
Heart Rate_last10%_max,0.08385137117389108,12,0.09597159494287828,12,0.012120223768987207,0.012120223768987207,0
Heart Rate_last10%_min,0.09159154380328133,11,0.10369357337211911,10,0.012102029568837783,0.012102029568837783,-1
Creatinine_full_min,0.03296500759202807,48,0.0431046756669768,44,0.010139668074948732,0.010139668074948732,-4
Systolic blood pressure_full_mean,0.046116838559792546,33,0.05483376951389668,34,0.008716930954104134,0.008716930954104134,1
Respiratory rate_last25%_min,0.01240434222794731,83,0.01904973678642789,69,0.006645394558480578,0.006645394558480578,-14
Lactate_full_min,0.041499177464421756,38,0.047960846385043755,39,0.006461668920621999,0.006461668920621999,1
Creatinine_full_std,0.013619373913368715,78,0.018298529480343943,70,0.004679155566975228,0.004679155566975228,-8
Respiratory rate_last10%_min,0.008825090459926353,90,0.01266229273992272,84,0.0038372022799963677,0.0038372022799963677,-6
Lactate_full_mean,0.025175437832986414,60,0.02884650064639243,55,0.0036710628134060154,0.0036710628134060154,-5
Systolic blood pressure_last25%_min,0.03874313242207777,42,0.04195981942613982,46,0.003216687004062052,0.003216687004062052,4
Systolic blood pressure_last10%_max,0.025410056220109112,59,0.027771527729378884,58,0.0023614715092697726,0.0023614715092697726,-1
Heart Rate_full_mean,0.01591535028430545,73,0.01820061213884654,71,0.002285261854541091,0.002285261854541091,-2
Respiratory rate_last10%_max,0.006222599456714667,96,0.008072974000643275,92,0.0018503745439286089,0.0018503745439286089,-4
Lactate_full_max,0.014977864689232989,74,0.01668951379226797,74,0.0017116491030349807,0.0017116491030349807,0
Lactate_full_std,0.01461559886722078,75,0.01611979858539042,77,0.0015041997181696413,0.0015041997181696413,2
Systolic blood pressure_full_min,0.023554418490505914,61,0.024981502662616947,62,0.0014270841721110324,0.0014270841721110324,1
Systolic blood pressure_last25%_max,0.011581574708244386,85,0.012954299299988235,81,0.0013727245917438489,0.0013727245917438489,-4
Systolic blood pressure_last10%_std,0.025595493553743093,58,0.02479471188794497,63,-0.0008007816657981219,0.0008007816657981219,5
Heart Rate_full_min,0.0037941285855495692,102,0.004413024612385342,101,0.0006188960268357726,0.0006188960268357726,-1
Lactate_last25%_std,0.006768324844723818,94,0.007380631020166641,94,0.0006123061754428234,0.0006123061754428234,0
Respiratory rate_last25%_max,0.0026903745130813137,106,0.00317562668740444,103,0.0004852521743231265,0.0004852521743231265,-3
Systolic blood pressure_last10%_min,0.005089250364014286,98,0.0055195729410908,97,0.0004303225770765145,0.0004303225770765145,-1
Sodium_full_std,0.012460184809826542,82,0.012060098756132643,86,-0.00040008605369389917,0.00040008605369389917,4
Systolic blood pressure_full_max,0.00251681541906653,108,0.0028689640548886625,105,0.0003521486358221324,0.0003521486358221324,-3
Potassium_full_std,0.0014649906290340607,115,0.0017582472214565242,113,0.0002932565924224635,0.0002932565924224635,-2
Mean blood pressure_last25%_min,0.004776887745355602,99,0.005061666997709806,99,0.00028477925235420327,0.00028477925235420327,0
Heart Rate_last25%_max,0.001648535682000796,113,0.0018671456558467065,112,0.00021860997384591063,0.00021860997384591063,-1
Mean blood pressure_last10%_min,0.0014457613660624922,116,0.001564641397089177,115,0.00011888003102668472,0.00011888003102668472,-1
Sodium_last25%_std,0.002800797362410168,105,0.002744578259447625,107,-5.621910296254315e-05,5.621910296254315e-05,2
Heart Rate_full_max,0.0004375922809639387,119,0.00048594048297959303,119,4.8348202015654346e-05,4.8348202015654346e-05,0
Systolic blood pressure_last25%_std,0.005483789571177647,97,0.005440981273859041,98,-4.280829731860645e-05,4.280829731860645e-05,1
Mean blood pressure_last10%_max,0.000331255069677691,120,0.000364450747740504,120,3.319567806281301e-05,3.319567806281301e-05,0
Sodium_last10%_std,0.00017464504092378201,122,0.00017183477406228142,122,-2.810266861500598e-06,2.810266861500598e-06,0
Mean blood pressure_full_min,8.404009366959862e-05,125,8.15717686115911e-05,126,-2.4683250580075197e-06,2.4683250580075197e-06,1
Respiratory rate_full_max,2.3386313796884103e-06,142,1.970202008221214e-06,142,-3.6842937146719634e-07,3.6842937146719634e-07,0
Diastolic blood pressure_last10%_min,0.1226415848271027,7,0.1226415848271027,8,0.0,0.0,1
White blood cell count_last10%_min,0.12979410911829736,6,0.12979410911829736,7,0.0,0.0,1
Glascow coma scale verbal response_full_mean,0.12990255348316734,5,0.12990255348316734,6,0.0,0.0,1
Glascow coma scale motor response_last10%_min,0.18518944952921382,3,0.18518944952921382,4,0.0,0.0,1
Glascow coma scale motor response_full_std,0.10171267564270109,8,0.10171267564270109,11,0.0,0.0,3
Temperature_last10%_min,1.090114795146417,1,1.090114795146417,1,0.0,0.0,0
Glascow coma scale verbal response_last10%_min,0.35886536537301506,2,0.35886536537301506,2,0.0,0.0,0
Glascow coma scale eye opening_last10%_max,0.07361094024250452,18,0.07361094024250452,20,0.0,0.0,2
Weight_full_min,0.07471433139869824,16,0.07471433139869824,18,0.0,0.0,2
White blood cell count_full_std,0.07676477798316181,14,0.07676477798316181,16,0.0,0.0,2
Fraction inspired oxygen_last10%_min,0.07637953720848359,15,0.07637953720848359,17,0.0,0.0,2
Glascow coma scale eye opening_last10%_min,0.09271144335745188,10,0.09271144335745188,14,0.0,0.0,4
Glucose_full_min,0.0831310786977575,13,0.0831310786977575,15,0.0,0.0,2
Bilirubin_full_min,0.05235583476680956,29,0.05235583476680956,36,0.0,0.0,7
Hematocrit_full_max,0.054333481735658586,28,0.054333481735658586,35,0.0,0.0,7
Glascow coma scale verbal response_full_max,0.055721391670831504,27,0.055721391670831504,32,0.0,0.0,5
Temperature_last25%_min,0.06074465538548288,26,0.06074465538548288,30,0.0,0.0,4
Prothrombin time_last10%_min,0.06171316604973335,25,0.06171316604973335,29,0.0,0.0,4
Diastolic blood pressure_last25%_min,0.06438747787898157,24,0.06438747787898157,26,0.0,0.0,2
Platelets_full_min,0.06870454974885341,23,0.06870454974885341,24,0.0,0.0,1
White blood cell count_full_min,0.0694632396115726,22,0.0694632396115726,23,0.0,0.0,1
Glascow coma scale verbal response_full_std,0.06994866639152583,21,0.06994866639152583,22,0.0,0.0,1
Hemoglobin_full_std,0.07052495163984474,20,0.07052495163984474,21,0.0,0.0,1
Fraction inspired oxygen_full_mean,0.019633338523619853,66,0.019633338523619853,68,0.0,0.0,2
Diastolic blood pressure_full_min,0.04352330649503631,36,0.04352330649503631,43,0.0,0.0,7
Glascow coma scale eye opening_full_std,0.01673134351287061,69,0.01673134351287061,73,0.0,0.0,4
Temperature_last25%_max,0.022624391966074596,62,0.022624391966074596,64,0.0,0.0,2
Glascow coma scale verbal response_full_min,0.022140341057882953,64,0.022140341057882953,66,0.0,0.0,2
Platelets_last25%_std,0.017365612839026292,68,0.017365612839026292,72,0.0,0.0,4
Prothrombin time_full_max,0.027859810197434536,54,0.027859810197434536,57,0.0,0.0,3
Fraction inspired oxygen_last25%_max,0.027105827558042334,55,0.027105827558042334,59,0.0,0.0,4
Glascow coma scale verbal response_last10%_std,0.026734895700781136,56,0.026734895700781136,60,0.0,0.0,4
Glascow coma scale motor response_last10%_std,0.02621720665762408,57,0.02621720665762408,61,0.0,0.0,4
Prothrombin time_full_mean,0.0364824235167544,47,0.0364824235167544,51,0.0,0.0,4
Prothrombin time_full_min,0.03177909650654414,50,0.03177909650654414,52,0.0,0.0,2
White blood cell count_full_max,0.03148699436344842,51,0.03148699436344842,53,0.0,0.0,2
Oxygen saturation_last25%_min,0.02877883988118321,53,0.02877883988118321,56,0.0,0.0,3
Glascow coma scale motor response_full_min,0.04303371033805224,37,0.04303371033805224,45,0.0,0.0,8
Glascow coma scale motor response_full_mean,0.037808369073919414,43,0.037808369073919414,49,0.0,0.0,6
Oxygen saturation_last10%_min,0.03725005773887225,45,0.03725005773887225,50,0.0,0.0,5
Oxygen saturation_full_min,0.049104092603254476,30,0.049104092603254476,37,0.0,0.0,7
Weight_full_mean,0.04597206456168119,34,0.04597206456168119,40,0.0,0.0,6
Glascow coma scale motor response_full_max,0.044918957913119256,35,0.044918957913119256,41,0.0,0.0,6
Fraction inspired oxygen_full_max,0.04077466376749861,39,0.04077466376749861,47,0.0,0.0,8
Fraction inspired oxygen_last10%_max,0.048397213012167276,31,0.048397213012167276,38,0.0,0.0,7
Heart Rate_last10%_std,0.006814460911311509,93,0.006814460911311509,95,0.0,0.0,2
Glascow coma scale verbal response_last25%_std,0.0074995824671600835,92,0.0074995824671600835,93,0.0,0.0,1
Hematocrit_full_std,0.008673979588566897,91,0.008673979588566897,91,0.0,0.0,0
Platelets_full_std,0.009182973439278881,89,0.009182973439278881,90,0.0,0.0,1
Fraction inspired oxygen_full_min,0.010550103270712171,87,0.010550103270712171,88,0.0,0.0,1
Weight_full_max,0.009961003313899671,88,0.009961003313899671,89,0.0,0.0,1
Temperature_last10%_max,0.01100065102761043,86,0.01100065102761043,87,0.0,0.0,1
Glascow coma scale eye opening_last10%_std,0.012363943744907688,84,0.012363943744907688,85,0.0,0.0,1
White blood cell count_last25%_std,0.012939576361739672,80,0.012939576361739672,82,0.0,0.0,2
Diastolic blood pressure_last10%_max,0.013529652377391264,79,0.013529652377391264,80,0.0,0.0,1
Glascow coma scale eye opening_full_mean,0.012917009574966058,81,0.012917009574966058,83,0.0,0.0,2
Glascow coma scale eye opening_last25%_std,0.021025911190310026,65,0.021025911190310026,67,0.0,0.0,2
Prothrombin time_full_std,0.016303766175290658,72,0.016303766175290658,76,0.0,0.0,4
Hematocrit_last25%_std,0.016520040350621372,70,0.016520040350621372,75,0.0,0.0,5
Hemoglobin_last25%_std,0.014411786963805141,76,0.014411786963805141,78,0.0,0.0,2
Glascow coma scale eye opening_full_max,0.01385241303395452,77,0.01385241303395452,79,0.0,0.0,2
Glascow coma scale eye opening_full_min,0.022273765572623883,63,0.022273765572623883,65,0.0,0.0,2
Diastolic blood pressure_last10%_mean,0.0024422695373476073,109,0.0024422695373476073,109,0.0,0.0,0
Hematocrit_last10%_std,0.0030562594878605813,103,0.0030562594878605813,104,0.0,0.0,1
Temperature_full_min,0.0026866756326361613,107,0.0026866756326361613,108,0.0,0.0,1
Glascow coma scale motor response_last25%_std,0.0046918301125173515,100,0.0046918301125173515,100,0.0,0.0,0
Hematocrit_full_min,0.006326041290131637,95,0.006326041290131637,96,0.0,0.0,1
Temperature_full_max,0.004322668891864516,101,0.004322668891864516,102,0.0,0.0,1
Bilirubin_full_std,0.002806855785866557,104,0.002806855785866557,106,0.0,0.0,2
White blood cell count_last10%_std,0.0012315308743726147,117,0.0012315308743726147,117,0.0,0.0,0
Diastolic blood pressure_last25%_max,0.0015524511611621156,114,0.0015524511611621156,116,0.0,0.0,2
Weight_last10%_std,0.0021389133458541223,111,0.0021389133458541223,111,0.0,0.0,0
Diastolic blood pressure_full_max,0.0016938227868832413,112,0.0016938227868832413,114,0.0,0.0,2
Oxygen saturation_last10%_max,0.0002501054683017407,121,0.0002501054683017407,121,0.0,0.0,0
Weight_last25%_std,0.0010145995615713688,118,0.0010145995615713688,118,0.0,0.0,0
Height_full_min,0.00015992679398329227,123,0.00015992679398329227,123,0.0,0.0,0
Platelets_last10%_std,0.0022567557543198397,110,0.0022567557543198397,110,0.0,0.0,0
Glucose_last10%_min,0.00011917768661827336,124,0.00011917768661827336,124,0.0,0.0,0
pH_full_mean,8.197657902304705e-05,126,8.197657902304705e-05,125,0.0,0.0,-1
pH_full_max,6.670437429318644e-05,128,6.670437429318644e-05,128,0.0,0.0,0
Glucose_last25%_max,6.914744337988795e-05,127,6.914744337988795e-05,127,0.0,0.0,0
pH_last10%_min,5.642802192534673e-05,130,5.642802192534673e-05,130,0.0,0.0,0
pH_last25%_min,4.8211921302574e-05,131,4.8211921302574e-05,131,0.0,0.0,0
Glucose_full_mean,4.039517680484306e-05,132,4.039517680484306e-05,132,0.0,0.0,0
pH_last10%_max,5.766613534926165e-05,129,5.766613534926165e-05,129,0.0,0.0,0
Glucose_last10%_std,2.295929536017815e-05,134,2.295929536017815e-05,134,0.0,0.0,0
Glucose_full_max,2.169027774806275e-05,135,2.169027774806275e-05,135,0.0,0.0,0
Glucose_last10%_max,2.0887004497374944e-05,136,2.0887004497374944e-05,136,0.0,0.0,0
